tenure,MonthlyCharges,TotalCharges,gender,PaymentMethod,Contract
6133,2,24.9,49.7,Male,Credit card (automatic),Month-to-month
736,30,110.45,3327.05,Female,Credit card (automatic),One year
1192,7,90.45,593.45,Male,Electronic check,Month-to-month
6490,26,19.4,525.55,Male,Mailed check,One year
5337,20,50.0,1003.05,Male,Mailed check,Month-to-month
4505,72,26.0,1776.0,Female,Mailed check,Two year
469,13,55.95,734.35,Female,Electronic check,Month-to-month
5948,70,84.6,5706.2,Male,Bank transfer (automatic),Two year
3221,3,29.75,96.85,Male,Electronic check,Month-to-month
4746,2,76.5,162.45,Male,Electronic check,Month-to-month
4229,72,115.75,8443.7,Female,Credit card (automatic),Two year
6266,33,83.85,2716.3,Male,Credit card (automatic),Month-to-month
247,15,74.4,1074.3,Male,Electronic check,Month-to-month
3753,1,29.15,29.15,Male,Mailed check,Month-to-month
6819,55,98.8,5617.75,Male,Electronic check,Month-to-month
6927,5,64.4,316.9,Male,Credit card (automatic),Month-to-month
4619,3,79.65,251.75,Male,Bank transfer (automatic),Month-to-month
5094,65,89.85,5844.65,Female,Electronic check,One year
5650,39,59.8,2343.85,Male,Electronic check,One year
5508,70,25.15,1940.85,Male,Bank transfer (automatic),Two year
500,34,116.25,3899.05,Male,Credit card (automatic),One year
1726,30,49.9,1441.95,Male,Electronic check,Month-to-month
2399,12,49.85,617.15,Female,Bank transfer (automatic),Month-to-month
3703,9,20.1,190.25,Male,Mailed check,One year
6964,49,56.3,2780.6,Female,Credit card (automatic),One year
1737,7,44.25,313.45,Female,Mailed check,Month-to-month
3484,38,83.45,3147.15,Female,Electronic check,Month-to-month
4028,63,109.2,7049.75,Male,Credit card (automatic),Two year
3805,1,71.65,71.65,Male,Electronic check,Month-to-month
228,30,89.9,2723.15,Male,Credit card (automatic),Month-to-month
1467,23,73.75,1756.6,Female,Mailed check,One year
1978,57,69.75,3894.4,Female,Mailed check,Two year
800,70,75.65,5411.4,Female,Credit card (automatic),Two year
17,71,106.7,7382.25,Male,Bank transfer (automatic),Two year
5473,20,49.6,939.8,Male,Electronic check,Month-to-month
6880,72,25.2,1787.35,Female,Bank transfer (automatic),Two year
1801,22,69.7,1490.4,Male,Mailed check,Month-to-month
2825,15,26.35,378.6,Male,Electronic check,Month-to-month
5942,9,48.75,442.2,Female,Electronic check,Month-to-month
6606,38,105.0,4026.4,Female,Electronic check,Month-to-month
960,7,29.8,220.45,Male,Bank transfer (automatic),Month-to-month
6539,26,73.05,1959.5,Female,Electronic check,Month-to-month
2949,56,60.25,3282.75,Female,Credit card (automatic),One year
1615,49,20.05,923.1,Female,Bank transfer (automatic),One year
5763,3,70.25,229.7,Female,Electronic check,Month-to-month
2821,1,74.4,74.4,Male,Electronic check,Month-to-month
3651,70,19.55,1462.05,Female,Credit card (automatic),Two year
1888,23,55.8,1327.85,Female,Bank transfer (automatic),One year
706,65,59.6,3739.8,Female,Mailed check,Two year
2287,69,108.4,7318.2,Male,Bank transfer (automatic),Two year
6088,1,55.4,55.4,Female,Electronic check,Month-to-month
2651,24,90.35,2238.5,Male,Electronic check,Month-to-month
625,25,95.15,2395.7,Female,Electronic check,Month-to-month
1718,17,19.9,323.15,Female,Bank transfer (automatic),One year
4832,32,70.5,2201.75,Male,Mailed check,One year
3504,68,19.95,1377.7,Male,Bank transfer (automatic),Two year
5245,70,20.15,1411.2,Female,Credit card (automatic),Two year
1103,54,105.2,5637.85,Male,Electronic check,One year
1244,15,19.4,289.3,Female,Bank transfer (automatic),Month-to-month
96,71,66.85,4748.7,Male,Credit card (automatic),One year
3480,70,19.85,1433.8,Male,Credit card (automatic),Two year
1005,53,95.85,5016.25,Female,Credit card (automatic),One year
1261,2,80.15,194.55,Female,Electronic check,Month-to-month
1078,59,79.2,4590.35,Female,Credit card (automatic),Two year
156,22,84.15,1821.95,Female,Bank transfer (automatic),Month-to-month
4656,22,75.8,1615.1,Female,Bank transfer (automatic),Month-to-month
4411,57,49.9,2782.4,Female,Bank transfer (automatic),Month-to-month
2077,1,71.35,71.35,Female,Electronic check,Month-to-month
6634,10,102.1,1068.85,Female,Credit card (automatic),Month-to-month
425,55,51.65,2838.55,Female,Bank transfer (automatic),Month-to-month
6994,43,24.45,993.15,Female,Bank transfer (automatic),One year
3617,18,48.35,810.7,Female,Electronic check,Month-to-month
2623,2,80.55,188.1,Female,Credit card (automatic),Month-to-month
447,52,25.05,1270.25,Female,Bank transfer (automatic),Two year
5453,60,61.35,3766.2,Male,Mailed check,Two year
3698,59,83.25,4949.1,Female,Electronic check,Month-to-month
2210,69,104.0,7028.5,Female,Electronic check,Two year
4019,14,100.55,1415.55,Male,Electronic check,Month-to-month
3973,43,60.4,2640.55,Female,Credit card (automatic),One year
2934,12,19.4,198.1,Female,Bank transfer (automatic),Month-to-month
6569,8,19.5,162.15,Female,Mailed check,Two year
3692,3,69.15,235.0,Female,Bank transfer (automatic),Month-to-month
4713,58,105.05,6004.85,Male,Bank transfer (automatic),One year
2771,13,63.15,816.8,Female,Mailed check,Month-to-month
4192,23,20.15,405.6,Male,Bank transfer (automatic),One year
1199,17,78.9,1348.95,Female,Electronic check,Month-to-month
6404,52,109.3,5731.4,Male,Electronic check,Two year
5381,32,78.9,2447.95,Male,Electronic check,Month-to-month
5941,36,34.85,1267.2,Female,Bank transfer (automatic),Month-to-month
3018,67,25.1,1672.15,Male,Credit card (automatic),Two year
5190,29,103.95,2964.8,Male,Electronic check,Month-to-month
93,65,111.05,7107.0,Female,Credit card (automatic),Month-to-month
4471,41,83.75,3273.55,Male,Bank transfer (automatic),Month-to-month
1321,60,65.85,3928.3,Male,Bank transfer (automatic),One year
5756,53,19.85,1049.6,Female,Credit card (automatic),Two year
4456,68,24.95,1614.9,Female,Credit card (automatic),Two year
1595,2,74.7,165.4,Male,Electronic check,Month-to-month
2348,61,33.6,2117.2,Male,Bank transfer (automatic),Month-to-month
5688,41,20.0,879.8,Male,Mailed check,Two year
4584,69,74.1,5031.0,Male,Credit card (automatic),Two year
476,35,76.05,2747.2,Male,Electronic check,Month-to-month
5458,7,51.0,354.05,Male,Mailed check,Month-to-month
2432,50,25.2,1306.3,Female,Electronic check,One year
5965,36,63.7,2188.5,Male,Credit card (automatic),One year
3460,48,100.05,4834.0,Female,Credit card (automatic),Month-to-month
1034,71,81.85,5924.4,Female,Bank transfer (automatic),Two year
1775,65,109.05,7108.2,Male,Electronic check,Two year
6284,23,93.5,2341.55,Female,Electronic check,Month-to-month
2835,66,63.85,4174.35,Female,Credit card (automatic),One year
2031,5,25.05,125.5,Female,Mailed check,Month-to-month
3820,72,112.9,8061.5,Male,Credit card (automatic),Month-to-month
1559,2,20.35,45.3,Female,Mailed check,Month-to-month
2592,12,19.45,246.25,Female,Mailed check,Month-to-month
4288,3,91.85,257.05,Male,Electronic check,Month-to-month
487,72,88.6,6201.95,Male,Bank transfer (automatic),Two year
3320,18,59.1,1011.05,Male,Credit card (automatic),Month-to-month
1115,39,53.85,2200.7,Male,Credit card (automatic),Two year
6156,26,85.8,2193.65,Female,Credit card (automatic),Month-to-month
4615,72,64.75,4804.75,Female,Bank transfer (automatic),Two year
561,3,23.6,89.05,Male,Mailed check,Month-to-month
1730,1,59.85,59.85,Male,Electronic check,Month-to-month
3262,34,87.45,2874.15,Female,Electronic check,Month-to-month
4334,11,76.4,838.7,Female,Electronic check,Month-to-month
756,66,19.7,1253.8,Male,Bank transfer (automatic),Two year
334,2,80.6,155.8,Female,Mailed check,Month-to-month
4507,8,66.05,574.5,Female,Bank transfer (automatic),Month-to-month
5400,33,70.4,2406.1,Female,Bank transfer (automatic),Month-to-month
2705,72,25.65,1887.0,Female,Bank transfer (automatic),Two year
23,58,59.9,3505.1,Female,Credit card (automatic),Two year
6849,30,83.55,2570.2,Male,Bank transfer (automatic),Month-to-month
2124,5,24.95,100.4,Male,Electronic check,Month-to-month
4401,46,110.2,4972.1,Female,Electronic check,Month-to-month
2229,4,70.5,294.2,Male,Electronic check,Month-to-month
3578,40,65.1,2586.0,Female,Mailed check,Month-to-month
6579,72,84.3,5997.1,Male,Credit card (automatic),Two year
1926,49,99.8,4872.45,Male,Electronic check,Month-to-month
3362,1,54.9,54.9,Female,Electronic check,Month-to-month
1859,52,85.35,4338.6,Male,Electronic check,Month-to-month
1277,72,20.1,1326.25,Female,Credit card (automatic),Two year
5648,28,39.1,1096.6,Female,Electronic check,One year
4755,33,91.25,2964.05,Male,Electronic check,Month-to-month
6578,10,73.55,693.3,Female,Credit card (automatic),One year
6152,16,93.2,1573.7,Female,Credit card (automatic),Month-to-month
3197,22,69.5,1498.2,Female,Bank transfer (automatic),One year
712,58,24.7,1519.0,Female,Credit card (automatic),Two year
6686,72,109.75,7758.9,Male,Credit card (automatic),Two year
3244,10,54.5,568.2,Male,Credit card (automatic),Month-to-month
3207,5,19.65,92.05,Female,Credit card (automatic),Month-to-month
2407,2,70.7,141.45,Female,Electronic check,Month-to-month
4862,2,70.95,137.95,Female,Electronic check,Month-to-month
4013,2,54.35,117.05,Female,Mailed check,Month-to-month
5294,53,104.05,5566.4,Female,Bank transfer (automatic),Two year
6033,25,88.95,2291.2,Male,Electronic check,Month-to-month
6297,64,113.35,7222.75,Female,Electronic check,One year
5707,2,45.55,84.4,Female,Electronic check,Month-to-month
1893,16,69.1,1083.7,Male,Electronic check,Month-to-month
982,39,47.85,1886.4,Female,Electronic check,One year
1657,35,25.6,901.25,Male,Electronic check,Month-to-month
5255,31,76.05,2227.8,Female,Electronic check,Month-to-month
3102,5,54.2,308.25,Female,Electronic check,Month-to-month
4885,72,111.65,8022.85,Male,Bank transfer (automatic),Two year
2098,2,90.75,174.75,Male,Mailed check,Month-to-month
378,61,89.65,5308.7,Female,Electronic check,Two year
3799,31,65.25,1994.3,Female,Credit card (automatic),Month-to-month
5064,2,40.4,77.15,Male,Credit card (automatic),Month-to-month
199,1,20.75,20.75,Male,Mailed check,Month-to-month
5987,1,20.35,20.35,Female,Mailed check,Two year
4354,59,20.2,1192.3,Male,Bank transfer (automatic),Two year
2753,1,95.65,95.65,Female,Mailed check,Month-to-month
3662,9,45.15,416.45,Female,Electronic check,Month-to-month
6861,14,91.65,1301.0,Female,Electronic check,Month-to-month
4173,12,86.55,1066.9,Female,Electronic check,Month-to-month
1193,47,74.45,3510.3,Female,Mailed check,Two year
4865,7,48.8,349.8,Female,Electronic check,Month-to-month
2486,28,90.45,2509.25,Female,Electronic check,One year
5555,70,19.8,1378.75,Female,Bank transfer (automatic),Two year
3238,26,19.65,494.9,Female,Credit card (automatic),Two year
2877,61,99.15,6010.05,Female,Electronic check,Month-to-month
3606,70,101.75,7069.3,Female,Electronic check,One year
4172,1,19.5,19.5,Female,Mailed check,Month-to-month
4307,37,96.55,3580.3,Female,Electronic check,Month-to-month
828,60,90.95,5453.4,Male,Electronic check,One year
5702,71,105.1,7548.1,Male,Credit card (automatic),Month-to-month
3164,31,101.4,3143.65,Male,Electronic check,Month-to-month
6766,14,19.75,309.35,Male,Mailed check,One year
6639,50,103.4,5236.4,Male,Bank transfer (automatic),One year
5676,1,19.75,19.75,Male,Electronic check,Month-to-month
2948,41,99.8,4259.3,Male,Electronic check,Month-to-month
1897,30,50.4,1527.5,Male,Bank transfer (automatic),Month-to-month
6083,64,24.4,1548.65,Male,Bank transfer (automatic),Two year
1535,7,64.2,475.0,Male,Electronic check,Month-to-month
1465,1,74.6,74.6,Male,Credit card (automatic),Month-to-month
4909,51,83.85,4307.1,Male,Credit card (automatic),Two year
4724,50,80.05,4042.2,Female,Bank transfer (automatic),One year
1912,44,20.5,865.05,Male,Bank transfer (automatic),One year
547,65,105.05,6744.25,Female,Bank transfer (automatic),One year
6219,1,25.7,25.7,Female,Mailed check,Month-to-month
1335,2,45.0,96.45,Male,Mailed check,Month-to-month
1385,48,102.5,4904.25,Female,Credit card (automatic),Two year
1176,6,109.9,669.45,Female,Credit card (automatic),Month-to-month
3571,35,62.1,2096.1,Female,Electronic check,Month-to-month
5983,22,50.35,1098.85,Female,Electronic check,Month-to-month
1352,72,60.95,4549.05,Male,Bank transfer (automatic),Two year
5061,55,76.25,4154.55,Female,Electronic check,One year
4247,69,106.35,7261.75,Male,Credit card (automatic),Two year
5693,72,73.45,5329.0,Male,Credit card (automatic),Two year
2191,1,91.3,91.3,Female,Electronic check,Month-to-month
3861,26,105.45,2715.3,Female,Electronic check,Two year
3347,23,20.9,454.0,Male,Mailed check,Two year
5151,2,20.35,35.1,Female,Credit card (automatic),Month-to-month
2706,2,76.4,151.8,Male,Electronic check,Month-to-month
683,40,103.75,4188.4,Female,Credit card (automatic),One year
2577,1,94.6,94.6,Female,Electronic check,Month-to-month
518,27,75.2,1929.35,Female,Bank transfer (automatic),Month-to-month
611,9,65.0,663.05,Female,Mailed check,Month-to-month
6993,50,88.05,4367.35,Female,Electronic check,Month-to-month
2119,46,20.2,845.6,Male,Bank transfer (automatic),One year
3308,15,25.2,387.9,Female,Mailed check,Two year
3478,23,78.55,1843.05,Female,Electronic check,One year
491,2,59.0,114.15,Female,Electronic check,Month-to-month
5364,18,90.7,1597.25,Male,Credit card (automatic),Month-to-month
4512,70,75.5,5212.65,Female,Bank transfer (automatic),Two year
323,9,48.6,422.3,Female,Mailed check,One year
2764,30,67.6,2000.2,Male,Electronic check,Month-to-month
3151,15,75.1,1151.55,Male,Mailed check,Month-to-month
3163,39,90.7,3413.25,Male,Electronic check,Month-to-month
1201,12,49.4,611.65,Female,Electronic check,Month-to-month
3907,19,89.95,1682.4,Male,Mailed check,Month-to-month
1966,24,54.8,1291.3,Male,Credit card (automatic),Month-to-month
7034,67,102.95,6886.25,Female,Credit card (automatic),Month-to-month
324,69,60.05,4176.7,Male,Bank transfer (automatic),Two year
6795,55,85.1,4600.95,Female,Electronic check,Month-to-month
586,52,63.25,3342.45,Male,Credit card (automatic),Two year
4503,17,94.4,1617.5,Female,Electronic check,Month-to-month
5283,19,48.8,953.65,Female,Mailed check,Month-to-month
3608,39,75.25,3017.65,Male,Electronic check,Month-to-month
2114,40,61.9,2647.1,Male,Mailed check,Month-to-month
1554,26,20.9,518.3,Male,Mailed check,Month-to-month
4817,1,19.9,19.9,Female,Mailed check,Month-to-month
5957,18,78.55,1422.65,Male,Electronic check,Month-to-month
5123,15,75.3,1147.45,Female,Credit card (automatic),Month-to-month
3217,2,20.45,42.45,Female,Mailed check,Month-to-month
5826,1,79.35,79.35,Female,Bank transfer (automatic),Month-to-month
1372,23,95.3,2192.9,Male,Mailed check,Month-to-month
763,72,66.85,4758.8,Female,Bank transfer (automatic),Two year
6576,2,20.3,41.2,Female,Mailed check,Month-to-month
2859,70,88.55,6306.5,Male,Credit card (automatic),Two year
88,46,19.95,927.1,Female,Mailed check,Two year
1055,36,19.55,620.75,Female,Mailed check,One year
5102,72,110.15,7881.2,Female,Credit card (automatic),Two year
2906,6,48.8,297.35,Female,Mailed check,Month-to-month
2732,4,20.4,94.5,Female,Credit card (automatic),Month-to-month
3352,1,85.45,85.45,Female,Mailed check,Month-to-month
2628,1,83.4,83.4,Female,Mailed check,Month-to-month
6341,13,100.35,1358.85,Female,Electronic check,Month-to-month
6813,64,47.85,3147.5,Female,Electronic check,Two year
1407,8,44.55,343.45,Male,Mailed check,Two year
198,72,112.25,8041.65,Male,Bank transfer (automatic),Two year
1954,1,75.45,75.45,Male,Electronic check,Month-to-month
3270,4,100.85,399.25,Female,Mailed check,Month-to-month
2272,1,49.85,49.85,Male,Electronic check,Month-to-month
73,62,24.25,1424.6,Male,Bank transfer (automatic),Two year
2699,34,96.35,3190.25,Female,Electronic check,Month-to-month
5817,1,44.4,44.4,Male,Electronic check,Month-to-month
3431,24,101.05,2391.8,Male,Electronic check,Month-to-month
5922,72,105.25,7609.75,Male,Bank transfer (automatic),Two year
4236,1,19.95,19.95,Female,Credit card (automatic),Month-to-month
7023,63,103.5,6479.4,Female,Electronic check,Month-to-month
2865,66,109.25,7082.5,Female,Bank transfer (automatic),Two year
5571,61,79.8,4914.8,Male,Electronic check,One year
6867,67,19.95,1311.75,Male,Bank transfer (automatic),Two year
5351,12,95.5,1115.15,Female,Mailed check,One year
5163,19,34.95,610.2,Male,Mailed check,Month-to-month
2981,67,20.5,1430.95,Male,Bank transfer (automatic),Two year
1175,13,80.0,1029.35,Female,Credit card (automatic),Month-to-month
5046,1,45.15,45.15,Female,Mailed check,Month-to-month
1747,3,84.75,264.85,Female,Bank transfer (automatic),Month-to-month
6350,3,20.05,75.45,Male,Mailed check,Month-to-month
5154,17,104.2,1743.5,Female,Electronic check,Month-to-month
6422,52,53.75,2790.65,Male,Electronic check,One year
6646,51,19.4,997.75,Male,Mailed check,One year
5476,5,84.85,415.55,Female,Mailed check,Month-to-month
3454,29,35.65,1025.15,Female,Mailed check,Month-to-month
4959,1,20.15,20.15,Female,Credit card (automatic),Month-to-month
2083,1,20.15,20.15,Female,Mailed check,Month-to-month
2404,42,94.45,3923.8,Female,Credit card (automatic),One year
5705,1,19.65,19.65,Male,Mailed check,Month-to-month
4462,16,88.45,1422.1,Female,Electronic check,Month-to-month
4157,11,45.2,492.0,Male,Credit card (automatic),Month-to-month
5934,26,93.85,2381.55,Female,Electronic check,Month-to-month
6272,54,61.0,3283.05,Male,Electronic check,One year
2570,30,94.05,2866.45,Male,Credit card (automatic),Month-to-month
3779,66,79.4,5154.6,Male,Credit card (automatic),Two year
3540,72,108.65,7726.35,Female,Bank transfer (automatic),Two year
5893,12,24.0,269.65,Male,Bank transfer (automatic),Two year
208,19,106.6,1934.45,Female,Electronic check,Month-to-month
1433,9,68.95,593.85,Male,Mailed check,Month-to-month
6670,0,73.35,0.0,Female,Mailed check,Two year
4412,66,25.45,1699.15,Male,Bank transfer (automatic),One year
620,10,34.55,362.6,Male,Bank transfer (automatic),Month-to-month
4979,56,24.45,1385.85,Female,Mailed check,Two year
1511,67,19.25,1372.9,Female,Bank transfer (automatic),Two year
6624,64,60.05,3845.45,Male,Bank transfer (automatic),Two year
3181,64,81.3,5129.3,Female,Mailed check,Two year
5304,13,70.45,849.1,Male,Bank transfer (automatic),Month-to-month
478,5,96.1,453.4,Male,Electronic check,Month-to-month
3290,4,35.0,135.75,Female,Mailed check,Month-to-month
1979,45,20.0,886.4,Female,Bank transfer (automatic),Two year
5657,18,94.75,1691.9,Male,Electronic check,Month-to-month
3960,3,57.55,161.45,Female,Electronic check,Month-to-month
5738,1,20.6,20.6,Male,Mailed check,Month-to-month
3955,29,45.9,1332.4,Male,Electronic check,Month-to-month
1108,69,24.6,1678.05,Female,Credit card (automatic),Two year
5748,21,99.85,1992.55,Female,Credit card (automatic),Month-to-month
286,20,44.35,927.15,Female,Electronic check,Month-to-month
550,72,110.3,7966.9,Male,Bank transfer (automatic),Two year
4970,7,24.35,150.85,Male,Credit card (automatic),One year
6564,5,20.05,95.55,Male,Credit card (automatic),Month-to-month
4355,6,50.35,314.55,Female,Electronic check,Month-to-month
5271,13,66.4,831.75,Male,Credit card (automatic),Month-to-month
6230,1,20.05,20.05,Female,Mailed check,Month-to-month
1934,3,79.1,246.5,Female,Electronic check,Month-to-month
5227,7,96.2,639.7,Male,Electronic check,Month-to-month
5397,6,84.85,523.5,Male,Electronic check,Month-to-month
4564,1,20.0,20.0,Male,Mailed check,Month-to-month
401,11,20.05,237.7,Female,Credit card (automatic),One year
4140,63,99.9,6137.0,Female,Bank transfer (automatic),One year
747,3,75.05,202.9,Female,Mailed check,Month-to-month
5836,6,19.15,124.4,Male,Mailed check,One year
41,70,69.2,4872.35,Female,Credit card (automatic),Two year
1643,37,90.35,3419.3,Male,Electronic check,Month-to-month
5743,38,20.2,735.9,Female,Mailed check,Two year
4299,29,58.55,1718.95,Female,Bank transfer (automatic),Month-to-month
5201,9,19.9,164.6,Male,Electronic check,One year
1009,23,20.75,485.2,Male,Electronic check,One year
5711,20,90.8,1951.0,Female,Electronic check,Month-to-month
4196,70,24.05,1764.75,Female,Mailed check,Two year
737,70,101.0,7085.5,Male,Credit card (automatic),Two year
1022,5,84.7,392.5,Female,Electronic check,Month-to-month
4002,72,80.85,5727.45,Male,Bank transfer (automatic),Two year
6940,72,55.65,3880.05,Female,Credit card (automatic),Two year
6029,4,94.9,360.55,Male,Mailed check,Month-to-month
5112,7,20.05,164.85,Female,Mailed check,Month-to-month
5021,23,81.85,1810.85,Female,Credit card (automatic),One year
2882,11,64.9,716.1,Female,Electronic check,Month-to-month
5026,23,20.0,445.3,Male,Credit card (automatic),One year
1755,12,54.3,654.5,Female,Electronic check,Month-to-month
5316,49,93.65,4520.15,Male,Electronic check,One year
5984,14,85.15,1139.2,Male,Electronic check,Month-to-month
4239,56,36.1,1971.5,Male,Credit card (automatic),One year
6258,3,19.9,45.75,Female,Mailed check,Month-to-month
2045,69,110.5,7455.45,Female,Bank transfer (automatic),Two year
1550,6,80.8,457.1,Male,Electronic check,Month-to-month
4362,49,20.7,1032.05,Female,Credit card (automatic),One year
3438,18,94.7,1687.95,Male,Electronic check,Month-to-month
2517,1,69.5,69.5,Male,Bank transfer (automatic),Month-to-month
3905,3,35.2,108.95,Female,Credit card (automatic),Month-to-month
6520,2,85.85,167.3,Male,Electronic check,Month-to-month
1507,54,19.65,1008.7,Male,Credit card (automatic),Two year
1915,24,51.1,1269.6,Male,Credit card (automatic),Month-to-month
4332,54,60.0,3273.95,Female,Bank transfer (automatic),Two year
549,15,19.75,311.6,Male,Mailed check,Month-to-month
1728,45,81.65,3618.7,Female,Bank transfer (automatic),Two year
4728,46,38.25,1755.35,Male,Mailed check,Two year
4628,12,54.2,690.5,Female,Bank transfer (automatic),Month-to-month
296,71,76.05,5436.45,Female,Electronic check,Two year
5559,13,31.65,389.95,Female,Electronic check,Month-to-month
6257,1,73.0,73.0,Female,Electronic check,Month-to-month
4763,58,91.55,5511.65,Female,Electronic check,Month-to-month
4995,7,75.1,552.95,Female,Bank transfer (automatic),Month-to-month
6656,48,23.55,1173.35,Male,Mailed check,Two year
3548,71,97.65,6687.85,Male,Credit card (automatic),One year
3024,9,20.4,184.1,Male,Mailed check,Month-to-month
6847,18,55.95,1082.8,Female,Mailed check,Month-to-month
100,1,20.2,20.2,Male,Mailed check,Month-to-month
3407,67,20.05,1263.05,Female,Bank transfer (automatic),Two year
5905,1,85.0,85.0,Male,Electronic check,Month-to-month
5379,56,98.0,5270.6,Female,Electronic check,One year
4055,54,46.2,2431.95,Male,Bank transfer (automatic),Two year
5882,14,19.7,263.65,Female,Mailed check,Two year
2966,14,46.35,672.7,Female,Electronic check,Month-to-month
2233,54,69.9,3883.3,Male,Mailed check,Month-to-month
5777,72,68.15,4808.7,Male,Mailed check,Two year
5156,17,56.1,946.95,Male,Mailed check,One year
798,1,20.0,20.0,Female,Electronic check,Month-to-month
2155,30,85.0,2624.25,Female,Electronic check,Month-to-month
2091,50,20.15,970.85,Female,Credit card (automatic),Two year
1400,3,19.95,58.3,Male,Mailed check,Month-to-month
1425,12,74.15,741.4,Male,Electronic check,Month-to-month
927,13,81.15,952.3,Female,Electronic check,Month-to-month
3035,25,69.3,1813.1,Female,Electronic check,Month-to-month
346,2,90.4,168.2,Female,Electronic check,Month-to-month
6675,36,70.7,2511.95,Female,Mailed check,One year
1047,3,50.25,152.3,Male,Mailed check,Month-to-month
2197,66,63.85,4264.6,Male,Electronic check,Month-to-month
1423,15,101.1,1504.05,Male,Electronic check,Month-to-month
681,61,73.8,4616.05,Female,Bank transfer (automatic),Two year
2264,70,114.95,7711.25,Male,Bank transfer (automatic),Two year
4141,35,39.85,1434.6,Female,Electronic check,Month-to-month
5603,1,48.6,48.6,Female,Credit card (automatic),Month-to-month
87,48,20.65,1057.0,Female,Bank transfer (automatic),Two year
465,70,40.05,2799.75,Male,Mailed check,Two year
2582,12,105.3,1275.65,Female,Electronic check,Month-to-month
3856,61,114.1,7132.15,Male,Electronic check,Month-to-month
1786,38,84.25,3264.5,Female,Credit card (automatic),Month-to-month
5724,1,71.35,71.35,Male,Mailed check,Month-to-month
1582,56,65.2,3512.15,Female,Bank transfer (automatic),One year
3050,5,85.4,425.9,Female,Credit card (automatic),Month-to-month
6058,11,45.9,521.9,Male,Bank transfer (automatic),Month-to-month
6704,59,106.15,6256.2,Female,Electronic check,One year
5480,1,45.4,45.4,Female,Mailed check,Month-to-month
3439,72,104.15,7689.95,Male,Bank transfer (automatic),Two year
157,22,20.15,419.9,Male,Mailed check,One year
351,17,44.6,681.4,Male,Mailed check,One year
3685,50,44.45,2188.45,Male,Bank transfer (automatic),One year
6114,8,66.65,520.95,Male,Electronic check,Month-to-month
6505,56,59.8,3457.45,Male,Bank transfer (automatic),Two year
1215,3,80.3,250.05,Female,Electronic check,Month-to-month
1740,40,20.4,745.3,Male,Bank transfer (automatic),Month-to-month
2860,67,101.4,6841.05,Male,Credit card (automatic),Month-to-month
4950,4,91.65,365.4,Female,Electronic check,Month-to-month
4378,67,20.85,1327.4,Female,Bank transfer (automatic),One year
1539,4,50.3,217.1,Female,Electronic check,Month-to-month
743,61,24.1,1551.6,Female,Mailed check,Two year
5821,69,26.3,1763.55,Female,Electronic check,One year
84,49,20.15,973.35,Female,Bank transfer (automatic),Two year
6461,49,85.3,4297.95,Male,Credit card (automatic),Month-to-month
2985,35,113.2,3914.05,Female,Mailed check,Two year
2189,69,24.45,1718.2,Male,Bank transfer (automatic),Two year
2805,60,59.85,3483.45,Female,Bank transfer (automatic),Two year
4290,1,40.1,40.1,Female,Electronic check,Month-to-month
3058,17,55.85,937.5,Female,Mailed check,One year
4930,1,44.55,44.55,Female,Credit card (automatic),Month-to-month
5325,5,20.55,99.45,Male,Electronic check,One year
2605,13,20.4,261.3,Female,Mailed check,Two year
6970,4,74.35,265.35,Male,Electronic check,Month-to-month
2522,53,78.75,3942.45,Male,Mailed check,One year
2117,72,64.45,4528.0,Female,Bank transfer (automatic),Two year
3996,24,20.75,487.05,Male,Mailed check,Two year
6784,19,24.7,465.85,Female,Bank transfer (automatic),Month-to-month
1373,1,19.85,19.85,Male,Mailed check,Month-to-month
1297,5,75.6,402.5,Female,Electronic check,Month-to-month
5517,71,86.7,6179.35,Male,Bank transfer (automatic),One year
167,72,89.05,6254.45,Male,Bank transfer (automatic),Two year
4984,42,59.65,2536.55,Female,Bank transfer (automatic),Month-to-month
5793,14,55.5,767.55,Male,Credit card (automatic),Month-to-month
1488,1,51.25,51.25,Male,Mailed check,Month-to-month
6273,2,70.65,142.35,Female,Electronic check,Month-to-month
4513,72,92.45,6440.25,Female,Credit card (automatic),Two year
5333,13,88.35,1222.8,Female,Electronic check,Month-to-month
3483,18,77.8,1358.6,Female,Electronic check,Month-to-month
6262,45,96.75,4442.75,Female,Bank transfer (automatic),One year
6311,55,100.15,5409.75,Female,Electronic check,One year
1446,1,50.05,50.05,Male,Electronic check,Month-to-month
1074,1,21.1,21.1,Male,Mailed check,Month-to-month
3269,65,24.8,1600.95,Male,Credit card (automatic),One year
5647,46,69.1,3168.0,Female,Credit card (automatic),Month-to-month
4414,21,20.75,452.2,Female,Mailed check,Month-to-month
4314,24,101.25,2440.15,Male,Electronic check,Month-to-month
6020,34,61.25,1993.2,Female,Mailed check,One year
2778,13,74.65,966.25,Female,Mailed check,One year
6710,48,69.7,3023.65,Female,Bank transfer (automatic),One year
1487,56,106.8,5914.4,Female,Electronic check,One year
2571,42,100.4,4303.65,Female,Electronic check,Two year
4787,4,54.7,235.05,Female,Mailed check,Month-to-month
3388,65,55.15,3673.15,Female,Mailed check,Month-to-month
5631,3,25.0,78.25,Male,Mailed check,Month-to-month
1295,70,80.6,5460.2,Female,Bank transfer (automatic),Two year
1600,1,88.8,88.8,Male,Electronic check,Month-to-month
1964,66,54.8,3465.7,Male,Mailed check,One year
